"","id","tf_idf","Positive","Negative","text","relevance","score_avg"
"1",15192,0.0843935031834044,0,1,"Ik had niet het gevoel begrepen te worden, en snapte niet waarom hij mij zo onterecht heeft behandeld, hij ging niet in op mijn klachten terwijl er achteraf heel wat aan de hand was, dat vond ik erg slecht.
En behandelde mij een beetje als oud vuil.","4","4.2"
"2",16952,0.0484502988985778,0,0.5,"Ik ben zeer ontevreden over huisarts D.H.A. Pons. Er wordt slecht geluisterd naar m'n klachten en vaak afgewimpeld met een verkeerde diagnose. Ook doorverwijzen wanneer dit nodig was heeft hij niet gedaan. Daar ook weer werd ik afgewimpeld met de boodschap ""Dat trekt vanzelf weg"". Zes maanden later lag ik op de operatietafel vanwege desbetreffende klacht. Zes maanden waarin ik veel pijn en ongemak geleden heb.
Het enige pluspunt aan deze huisarts is de locatie.","5","3.5"
"3",20330,0.0571190801156258,0,1,"Dr. Kieviet luistert heel slecht naar de patient. Hij wilde mij niet doorverwijzen naar het ziekenhuis ondanks de vele pijnen in mijn rug. Hij gaf mij maar pijnpleisters en zei maar nonchalant dat de pijn vanzelf wel over gaat. Hij luistert niet en doet heel nonchalant over je klachten. De assistent van dr Kieviet neemt je ook niet serieus en is zeer irritant. ik ga veranderen van huisarts.","9","2.0"
"4",21657,0.134584163607161,0,1,"Werd slecht/niet geluisterd naar mijn klachten, zat allemaal tussen mijn oren.Totaal niet serieus genomen. Bleek pfeiffer te hebben na overgestapt te zijn naar een andere huisarts.","6","4.0"
"5",22213,0.0787993251139518,0,1,"Deze huisarts luistert slecht en neemt klachten niet serieus. Zijn manier van bejegenen is bijzonder onplezierig en maakt je onzeker. Als je een klacht indient, reageert hij op een onbeschofte manier en zijn dossiers zijn niet op orde. Hij schrijft geen feiten maar interpretaties op. Dit kan erg vervelend zijn als het dossier door een andere arts gelezen wordt. Zoek nog even daar naar een goede arts.","11","3.0"
"6",28314,0.350661547236605,0,1,"Luistert niet, zoekt niet uit, verkeerd geïnformeerd, stuurt niet door, zorgt voor fikse verergering van de klachten door negeren symptomen en niet doorvragen.","11","4.2"
"7",53809,0.236182920594725,0,0.5,"Huisarts luistert niet naar de klachten, is onbeleefd en kortaf.  Wil niet in gesprek met patiënt, als je toch doorvraagt wordt hij boos en onbeleefd.","4","4.5"
"8",65891,0.0606890513512675,0,0.5,"Buis luistert slecht naar zijn patiënten laat blijken dat hij de patiënt niet serieus neemt met zijn klachten. Na vele verzoeken wil Buis zijn patiënten niet doorverwijzen naar een specialist. Dit brengt soms zeer gevaarlijke situatie met zich mee en Buis doet dit heel makkelijk af. Ik vind dit een zeer onkundige huisarts die zijn patiënten niet serieus neemt.","7","3.5"
"9",68640,0.0545220791841127,0,0.5,"Ben met maagklachten bij hem geweest. Hij nam mij niet serieus. Bij een aanvraag voor een bloedonderzoek of andere onderzoeken aangezien ik een historie heb met ernstige bloedarmoede en vitamine d tekort werd ik geacht naar een website te gaan en daar mijn klachten in te vullen om te zien of ik een bloedonderzoek nodig had. Te belachelijk voor woorden. Voor de duidelijkheid ik heb een maagzweer en bloedarmoede en vitamine d tekort. Hoe triest is deze zorgverlening.","17","2.0"
"10",69135,0.0636607573881421,0,0.5,"Een trage huisarts die veel nadenkt en slecht luistert. Wij gingen erheen ivm refluxklachten bij onze baby. We moesten er maar een speen instoppen want alle baby's huilen. Dat de kinderarts op het CB aangaf opnieuw terug te gaan naar de huisarts omdat zijn buikje zo gevoelig was kwam wel bij hem aan. Hij verwees ons naar zijn waarnemer op de donderdag omdat zij zelf ook jonge kinderen heeft. Bij haar voelde we ons wel serieus genomen. Het lijkt of Luining bang is om in te grijpen bij jonge kinderen. Hij schuift het liever af.","2","4.7"
"11",70514,0.191251179862807,0,1,"De huisarts is zeer slecht bereikbaar. De assistent is onvriendelijk en onkundig. De assistant neemt de klachten niet serieus.","7","2.8"
"12",72923,0.459380275370197,0,1,"Chronische pijn en vermoeidheidsklachten worden hier niet seriues genomen.","14","4.7"
"13",73942,0.117218465077204,0,0.5,"Ik voelde mij als patient niet serieus genomen. Er werd slecht geluisterd en gedaan alsof ik me aanstel. De klachten zijn echt en een arts hoort dit dan ook te behandelen.","5","4.2"
"14",74985,0.415876339983399,0,0.5,"Met psychiatrisch klachten kan ze niet omgaan, bot, lomp en heel onhandig vind ik.","5","4.2"
"15",77428,0.0997449019306589,0.5,0.5,"ik heb het gevoel dat ik niet serieus wordt genomen met mijn klachten, 
ik  ervaar dat er niet naar mij wordt geluisterd en dat ik niet met respect wordt behandeld!","8","4.5"
"16",78152,0.126663432574048,0,0.5,"Kortzichtige blik. Voelde me niet serieus genomen met mijn klachten. Toont weinig interesse en lijkt niet te willen meedenken in mogelijke oorzaken van klachten. Afspraken op korte termijn soms lastig te maken i.v.m. parttime aanwezigheid en regelmatige afwezigheid.","11","4.8"
"17",79235,0.245575555376833,0,1,"luistert niet, diagnose gemist ondanks herhaardelijk aangeven van klachten. Geen respect, vooraannames.","10","3.2"
"18",79419,0.174832509450427,0,0.5,"Dr. Kuppevelt gaat niet uit van mijn klachten maar van een standaard aanpak. Gemiste diagnose ook al vaker gebeurd. We zijn nu bij vd Beek","4","4.2"
"19",79421,0.0779719706093509,0,1,"In het kennismakingsgesprek met dokter Kuppevelt was hij heel erg bevooroordeeld, luisterde totaal niet, weigerde mij te behandelen, weigerde vervolgafspraken te maken en bagatelliseerde mij en mijn klachten.
Het kennismakingsgesprek was zo onprettig en alleen maar gebaseerd op zijn meningen, dat ik nu al overweeg over te stappen naar een andere huisarts.
Het was zo erg dat ik tijdens het gesprek hysterisch begon te huilen. Verschrikkelijk als je je bedenkt dat ik al zoveel last heb van mijn luchtwegen!
Ik zou deze huisarts aan niemand aanraden","9","3.0"
"20",79726,0.108629313660585,0,0.5,"klachten/ziekte wordt als regel niet tot nauwelijks behandeld. vast beleid lijkt: paracetemol met rust.Leidt tot nodeloos lang ziek respecetievelijk nodeloze verergering klachten. Verder zijn de assistentes erg afwerend en onaangenaam in de bejegeing waardoor ik niet graag bel als er iets is.","4","3.2"
"21",81163,0.110114315678586,0,1,"Luistert slecht doet wat laconiek over de klachten.  Doet een doorverwijzing naar neuroloog waar we maar liefst 2 keer achteraan moesten bellen omdat de dokter het vergeten was....Zijn naar andere arts gegaan.","5","3.8"
"22",81802,0.0485291650561092,0,0.5,"Deze arts functioneert niet goed. Ze heeft me jarenlang met zeer kenmerkende fase-3 lyme klachten met een kluitje in het riet gestuurd (ga maar hardlopen). Ik heb nu zeer nare chronische klachten. Ook mijn vriendin die 'gewoon'de ziekte van Hashimoto had, kreeg dezelfde 'behandeling'. Ze heeft niet gehandeld. Ik ben altjd moe, heb div. gevolgen van hersenschade, altijd pijn etc .Ze wilde zowieso geen afdoende kuur voorschrijven uit angst van commentaar van collegas (heeft ze me letterlijk verteld) Ik vind het zeer kwalijk en zorgelijk dat ze nog steeds haar vak uitoefend.","5","2.2"
"23",88664,0.0909305517971366,0,1,"Mevr. van der Mey kwam niet emphatisch over, keek mij niet aan en probeerde alle klachten naar een eerdere ziekte oorzaak te herleiden(tunnelvisie) en beperkte dus het onderzoek. Inmiddels is in een ander ziekenhuis de juiste diagnose gesteld.","7","4.0"
"24",89364,0.0918104788741969,0,1,"Betreffende 'specialist' vind ik onkundig met betrekking tot  de ziekte van Lyme. Ontkent het bestaan van seronegatieve Lyme, weigert deze te behandelen en stelt valse differentiaal diagnose. Neemt patiënt niet serieus, klachten zitten tussen de oren, citaat: ‘U moet niet aan pijn denken als u iets voelt’.","13","2.7"
"25",92484,0.210493333180142,0,1,"Werd amper naar me geluisterd, geen diagnose maar de klachten zijn er wel nog.","7","4.8"
"26",94071,0.222928670469385,0,0.5,"Deze man behandeld je als een nummer en is niet betrokken met je pijn en klachten.","3","4.7"
"27",94072,0.122897179352166,0,1,"Ik voelde mij niet serieus genomen door deze neuroloog, er is maar naar de helft van de klachten gekeken, en niet zoals de huisarts vermeld had in de verwijzing, neuroloog neemt de enorme pijnen en slecht en pijnlijk niet serieus voor mijn gevoel, en daarbij vind ik de neuroloog autoritair, en vind ik dat die slecht luisterd.","9","4.8"
"28",94191,0.124558469081033,0,0.5,"Luistert niet of nauwlijks maar wel een duur pijnlijk onderzoek en als de uitslag hierop negatief is dan moet de pijn vanzelf weggaan maar hierdoor loop ik na een jaar nog steeds met onverklaarbare hoofdpijn klachten.","4","4.8"
